Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$441,658,177","$331,279",<0.1%,"$441,326,898",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$323,500,000","$48,300,000",14.9%,"$275,200,000",85.1%
4,Sonic the Hedgehog,"$308,434,533","$146,066,470",47.4%,"$162,368,063",52.6%
5,Dolittle,"$245,516,662","$77,047,065",31.4%,"$168,469,597",68.6%
6,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Legend of Deification,"$163,529,528","$179,320",0.1%,"$163,350,208",99.9%
8,Onward,"$140,869,916","$61,555,145",43.7%,"$79,314,771",56.3%
9,The Invisible Man,"$130,759,644","$64,914,050",49.6%,"$65,845,594",50.4%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Fantasy Island,"$48,505,021","$27,309,289",56.3%,"$21,195,732",43.7%
13,The New Mutants,"$43,093,616","$22,093,616",51.3%,"$21,000,000",48.7%
14,After We Collided,"$42,332,008",-,-,"$42,332,008",100%
15,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
16,Unhinged,"$37,450,364","$19,450,364",51.9%,"$18,000,000",48.1%
17,Train to Busan Presents: Peninsula,"$37,016,132","$1,186,266",3.2%,"$35,829,866",96.8%
18,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
19,Bloodshot,"$33,477,953","$12,561,824",37.5%,"$20,916,129",62.5%
20,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
21,Greenland,"$27,900,000",-,-,"$27,900,000",100%
22,Trolls World Tour,"$25,710,642",-,-,"$25,710,642",100%
23,Emma.,"$25,643,833","$10,055,355",39.2%,"$15,588,478",60.8%
24,Scoob!,"$23,300,000",-,-,"$23,300,000",100%
25,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
26,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
27,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
28,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
29,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$17,850,900",-,-,"$17,850,900",100%
30,Baaghi 3,"$16,726,437","$721,439",4.3%,"$16,004,998",95.7%
31,I Still Believe,"$15,648,192","$9,868,521",63.1%,"$5,779,671",36.9%
32,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
33,The Personal History of David Copperfield,"$13,295,638","$1,866,531",14%,"$11,429,107",86%
34,The Hunt,"$10,890,815","$5,812,500",53.4%,"$5,078,315",46.6%
35,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
36,My Spy,"$10,200,000",-,-,"$10,200,000",100%
37,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
38,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
39,Malang,"$8,398,568",-,-,"$8,398,568",100%
40,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
41,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
42,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
43,The War with Grandpa,"$6,352,133","$4,048,493",63.7%,"$2,303,640",36.3%
44,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
45,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
46,Bill & Ted Face the Music,"$5,863,234","$3,425,417",58.4%,"$2,437,817",41.6%
47,Antebellum,"$5,136,761",-,-,"$5,136,761",100%
48,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
49,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
50,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
51,The SpongeBob Movie: Sponge on the Run,"$4,661,457","$4,661,457",100%,-,-
52,The Broken Hearts Gallery,"$4,596,038","$3,960,535",86.2%,"$635,503",13.8%
53,Clueless 25th Anniversary,"$4,263,607",-,-,"$4,263,607",100%
